Text,Label
@BernieSanders Thank you Bernie! Together we can save ourselves!,1
@BernieSanders Agreed https://t.co/0Nbg0NxraG,1
"@BernieSanders We cordially invite you to settle in Gettr, where we have no taboos, freely communicate, let the power of justice unite, expose the truth about the CCP virus, the Hong Kong massacre, the extermination of humanity, etc.",1
"@BernieSanders Plant trees 🌳
Save the bees 🐝
Clean the seas 🌊
I am begging please.
#climatechange #climatecrisis 
#noplanetb",1
"@BernieSanders Thy them see
This

https://t.co/YDSZ4f33of",1
"@BernieSanders Gettr is a marketplace of ideas, where you can speak your mind without ever worrying about being politically censored.",1
"@BernieSanders We are #DV2021 winners from Iran , please send more 2nl and more interviews,time is running, we have a very short time,please help us extend the deadline.🙏🏻🙏🏻🙏🏻
#Justice_For_DV
#SaveDiversityVisa
#iranianDVwinners
#Documentary_qualify
@USEmbassyTurkey 
@usembarmenia
@USAinUAE https://t.co/i0bP6nu0im",1
@kylegriffin1 Aww too bad,1
@kylegriffin1 Seems they lived up to their name. They Han a Impact!,1
@kylegriffin1 They've seen the Light. Covid Will make u a Believer.,1
@kylegriffin1 6? Happy days for #realtors ...,1
@kylegriffin1 Thank you for saving lives &amp; our Nat’l Security,1
@kylegriffin1 Good,1
@kylegriffin1 Babies🥺,1
"@kylegriffin1 Yeah Home Depot!!! Way to go, a safer place to shop. This type of action is a MUST!!!",1
@kylegriffin1 👏🏻👏🏻👏🏻,1
@kylegriffin1 Good idea,1
@kylegriffin1 Hell yeah.,1
@JoyAnnReid ❤️❤️,1
@JoyAnnReid 🚢 the day will come for us again. People get ready.,1
"@JoyAnnReid This is a hard pill for me to swallow, but not sure if we will. We’ve had a lot of time to figure this thing out. We’ve always been too greasy for our own good.",1
"@JoyAnnReid Friends, please don't pass by the trouble. My son Kolya needs a bone marrow transplant. If you help or at least retweet, go to my page and read about my son. The bill goes on for months. Thank you for your help, God bless you🙏",1
@JoyAnnReid Let me tread on myself.,2
@JoyAnnReid 😳,1
"@JoyAnnReid Joy...I'm keeping Science will prevail.
Here's another step in research that's been going on.
https://t.co/VGph2Omzgi",1
@JoyAnnReid Oh!,1
"@maddow #sanctionpakistan #stopkillingafghans #endproxywar #endproxywarinafghanistan 
#saveafghanistan 
#afghanlivesmatter 
#standup4humanrights",1
"@maddow Hi guys, I would recommend a great Solar Lights seller on Amazon which I bought from and used for years, really got great fun and charming lighting atmosphere around house.
 
Here is the beautiful Solar post cap lights, I like so much - https://t.co/2aj0sHaw6Z https://t.co/76g9rwJ93d",1
"@chrislhayes Cleaning up after him, baby sitting him or his kids, and working in his freaking factories! They should all walk out and work somewhere else!",1
"RT @ClaudiaTiggs: @SteveSchmidtSES @TheAnimalsKnow You will return, right?  Your voice is both a call to action, and educating us all.  Wha…",1
RT @evolv67: @SteveSchmidtSES Thank you Steve for this clarifying insight. Many resistors are baffled by this incredible new reality that i…,1
@SteveSchmidtSES Excellent and current threat assessment. Thank you.,1
"RT @ffalcon52: @SteveSchmidtSES @StephMillerShow @j3zcm0 @tobymorton 
Governor Ron Diesantis
#RonDIesantis https://t.co/l7s1UTsAJA",1
RT @mickdeck: @SteveSchmidtSES Please don't go!!! Our DEMOCRACY and our mental health for a voice such as yours is greatly needed.. now mor…,1
RT @Maxwell0wen: @SteveSchmidtSES When we look back over this perilous time for America &amp; democracy your voice will be one of the strongest…,1
"RT @tabeerb: @SteveSchmidtSES Why are you going off grid? Also, haven’t seen you for a while on MSNBC or Bill Maher. Please hang in there a…",1
RT @SnoopandWillie: @SteveSchmidtSES Why are you going off the grid when we have so few intellectual leaders who love American style democr…,1
"RT @TheTarotGypsy: @SteveSchmidtSES Why go off the grid at this crucial juncture? You are a credible, much needed voice.  Your leadership i…",1
RT @ResisterInGA: @SteveSchmidtSES @Mastercard Mastercard supports #GOPTraitors,4
RT @SavvySuzyRises: @SteveSchmidtSES This is everyone's call to arms https://t.co/PjprGxHzVh,1
@SteveSchmidtSES Lol,1
@SteveSchmidtSES 🇭🇺🇭🇺🇭🇺,1
"@SteveSchmidtSES Support tucker

Support or an

Support Hungary

Support europe",1
@SteveSchmidtSES He can move there!,1
@SteveSchmidtSES I hope you come back.,1
RT @kz1300a4_lee: @NicolleDWallace @DrLeanaWen It only works if we all do it .,1
@NicolleDWallace HEMP PLANT-BASED ECONOMY  https://t.co/Jg0U0DOOEo,1
RT @MarianMarie8: @NicolleDWallace @DrLeanaWen I'm looking forward to reading @DrLeanaWen.,1
"@NicolleDWallace every positive thought propels you in the right direction, thank heaven for Meditation. Namaste",1
"@NicolleDWallace  Re your hosting TRMS:  I watched BECAUSE you were the host! I'm so glad Hillary C. (in a group interview many moons ago) made me aware of what a great TV host you are!  My wife and I  kept saying, ""Hillary Clinton seems to really like Nicole!  Who is she?""",1
"@NicolleDWallace @ac360 Glimmer of hope. Neighbor long time R voted #Trump 2016 but not 2020 is appalled by 1/ 6 #Insurrection &amp; outraged over R response. When R fundraiser called she let them have it, said no support till they get their house in order. #VoteBlue22 #vote",1
"@NicolleDWallace @MacFarlaneNews Thank you too Nicolle Wallace.
Thank you Both.",1
"@NicolleDWallace @DanaPerino @Laurie_March  This is so great, tell me you didn't smile looking at this and I will not believe you. https://t.co/QySjT3o3Zb",1
RT @alexi: @NicolleDWallace Beyond grateful to be back and with YOU @NicolleDWallace 🙏🏽,1
@NicolleDWallace Hey Nicole still lionizing @NYGovCuomo way to go @MSNBC,1
@NicolleDWallace @alexi Thank you !,1
@NicolleDWallace So sorry you were not hosting Friday night.  Best 'sub' ever for Rachel.  We also enjoy Deadline.,1
